"203819302","0.55","0.38","-0.74","-1.37","-0.31","0.39"
"203819341","0.55","0.46","-0.70","-3.81","-0.45","0.79"
"203819399","0.55","0.58","-0.60","-5.03","-1.01","0.64"
"203819439","0.54","0.69","-0.48","-4.53","-0.43","0.08"
"203819498","0.57","0.76","-0.31","-5.51","-0.88","1.51"
"203819535","0.63","0.75","-0.19","-3.20","-1.58","2.52"
"203819593","0.71","0.68","-0.19","-0.95","-2.47","2.89"
"203819633","0.77","0.57","-0.29","1.05","-3.02","3.01"
"203819690","0.78","0.42","-0.46","1.63","-3.47","2.86"
"203819729","0.73","0.28","-0.62","1.82","-3.96","2.48"
"203819787","0.61","0.14","-0.78","2.24","-4.46","2.00"
"203819828","0.42","0.00","-0.91","2.19","-4.87","1.37"
"203819884","0.19","-0.11","-0.98","1.69","-5.18","0.79"
"203819923","-0.07","-0.13","-0.99","-0.56","-5.26","-0.36"
"203819981","-0.32","-0.04","-0.95","-3.10","-5.08","-1.49"
"203820021","-0.55","0.11","-0.83","-5.43","-5.25","-2.96"
"203820078","-0.76","0.19","-0.62","-5.05","-4.99","-3.66"
"203820117","-0.91","0.15","-0.40","-2.74","-4.29","-3.39"
"203820175","-0.98","0.06","-0.18","-1.07","-4.85","-1.61"
"203820214","-1.00","0.03","0.06","-1.78","-4.64","0.19"
"203820271","-0.97","0.05","0.25","-4.56","-3.34","1.43"
"203820311","-0.92","0.07","0.39","-5.42","-2.28","3.11"
"203820369","-0.86","0.16","0.49","-3.49","-1.27","5.52"
"203820407","-0.77","0.37","0.52","-2.36","1.71","8.34"
"203820465","-0.60","0.66","0.44","1.13","3.74","10.13"
"203820505","-0.26","0.96","-0.00","13.10","11.95","9.28"
"203820562","0.34","0.56","-0.76","25.73","11.36","5.13"
"203820601","0.56","-0.32","-0.76","7.62","0.12","-4.62"
"203820659","0.65","-0.14","-0.75","-3.55","0.30","-3.19"
"203820713","0.67","-0.01","-0.74","-0.60","0.97","-1.96"
"203820756","0.70","0.07","-0.71","-0.72","0.31","-1.65"
"203820796","0.69","0.14","-0.71","-0.78","-0.18","-1.38"
"203820853","0.67","0.21","-0.71","-1.38","-0.29","-0.78"
"203820922","0.66","0.26","-0.71","-0.41","-0.30","-0.51"
"203820950","0.64","0.29","-0.71","-0.35","-0.16","-0.47"
"203820989","0.63","0.31","-0.71","-0.61","-0.23","-0.16"
"203821047","0.63","0.33","-0.71","-0.29","-0.06","-0.02"
"203821085","0.63","0.34","-0.70","-0.16","0.06","0.06"
"203821143","0.62","0.34","-0.70","-0.20","-0.21","-0.08"
"203821183","0.63","0.34","-0.70","-0.07","0.15","0.14"
"203821240","0.63","0.34","-0.70","0.21","-0.04","0.02"
"203821279","0.63","0.34","-0.70","-0.14","-0.02","0.02"
"203821385","0.63","0.34","-0.70","0.02","-0.04","0.01"
"203821389","0.63","0.35","-0.70","-0.06","-0.02","-0.01"
"203821455","0.62","0.35","-0.70","-0.05","-0.04","-0.01"
"203821489","0.62","0.35","-0.70","0.01","-0.02","-0.02"
"203821536","0.62","0.35","-0.70","-0.02","0.01","-0.05"
"203821635","0.62","0.35","-0.70","0.04","-0.06","0.01"
"203821675","0.62","0.35","-0.70","-0.07","0.00","0.01"
"203821679","0.62","0.35","-0.70","0.06","-0.05","0.00"
"203821813","0.62","0.35","-0.70","-0.04","-0.02","0.00"
"203821817","0.62","0.35","-0.70","0.10","-0.02","-0.00"
"203821822","0.62","0.35","-0.71","0.01","-0.01","-0.02"
"203821861","0.62","0.35","-0.71","-0.06","-0.09","-0.01"
"203821918","0.62","0.35","-0.71","0.03","0.04","0.01"
"203821959","0.62","0.35","-0.71","-0.00","-0.01","0.00"
"203822018","0.62","0.35","-0.71","-0.03","-0.03","0.01"
"203822059","0.61","0.35","-0.71","-0.01","-0.02","-0.02"
"203822116","0.61","0.35","-0.71","-0.04","-0.05","-0.01"
"203822152","0.61","0.35","-0.71","0.03","-0.03","0.00"
"203822209","0.61","0.35","-0.71","-0.10","-0.05","-0.02"
"203822248","0.61","0.35","-0.71","-0.14","-0.09","0.01"
"203822306","0.61","0.36","-0.71","-0.05","-0.02","-0.00"
"203822345","0.60","0.36","-0.71","0.03","-0.04","-0.01"
"203822403","0.60","0.36","-0.71","-0.05","-0.04","0.01"
"203822443","0.60","0.36","-0.71","0.02","-0.02","0.00"
"203822500","0.60","0.36","-0.71","-0.02","-0.03","0.02"
"203822539","0.60","0.36","-0.71","0.04","-0.00","0.02"
"203822597","0.59","0.06","-0.80","-0.05","-0.02","0.00"
"203822636","0.71","-0.10","-0.70","0.02","-0.02","0.03"
